FEATURE_ID,SVDATE,RES_PEDEST,RES_BRIDGE,RES_TUNNEL,RES_STEPS,RES_LIFT,BOROUGH,PHOTO1_URL,PHOTO2_URL,geometry,res_length_m
RWG187799,2018-01-22,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG187799_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG187799_2.jpg,"list(c(-0.0550818209, -0.0549262841, 51.6685242578, 51.6689008131))",43.2232117279451
RWG276630,2018-03-09,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG276630_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG276630_2.jpg,"list(c(-0.0600295243, -0.0599929728, 51.623045435, 51.6231372988))",10.5218418949502
RWG276637,2018-03-09,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG276637_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG276637_2.jpg,"list(c(-0.0572894108, -0.0572665614, 51.660086054, 51.6601825182))",10.8415198772217
RWG150625,2017-09-20,1,0,0,0,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150625_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150625_2.jpg,"list(c(-0.04945894, -0.0489884371, -0.0485780304, -0.0484563057, -0.0483346698, -0.0482870118, -0.0482114461, -0.0481654481, -0.048133528, -0.0481310371, -0.0481520215, -0.0481858985, -0.0482090323, -0.048255446, -0.0483139526, -0.048378149, -0.0484021571, -0.0484702663, -0.0484924063, 51.682570994, 51.682613988, 51.6827340944, 51.6827921442, 51.6828853671, 51.6829311239, 51.6830419748, 51.6831486985, 51.6832951191, 51.6833375674, 51.6833896086, 51.6834554318, 51.6834883397, 51.6835242828, 51.6835557058, 
51.683580293, 51.6835915942, 51.6836222451, 51.6836472188))",185.218109626983
RWG150626,2017-09-20,1,0,1,1,0,Enfield,https://cycleassetimages.data.tfl.gov.uk/RWG150626_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150626_2.jpg,"list(c(-0.0814193668, -0.0813284885, -0.0808951411, -0.0808077415, 51.6247642155, 51.6249839562, 51.6249396142, 51.6251778371))",82.7120416890078
RWG123244,2017-09-14,1,0,0,0,0,Havering,https://cycleassetimages.data.tfl.gov.uk/RWG123244_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG123244_2.jpg,"list(c(0.2132599439, 0.2132567102, 51.593214216, 51.5931561109))",6.46486286565478
RWG151255,2017-11-30,1,0,0,0,0,Havering,https://cycleassetimages.data.tfl.gov.uk/RWG151255_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG151255_2.jpg,"list(c(0.2574533793, 0.2576033893, 51.5703263293, 51.5703212528))",10.3831041103957
RWG151256,2017-11-30,1,0,0,0,0,Havering,https://cycleassetimages.data.tfl.gov.uk/RWG151256_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG151256_2.jpg,"list(c(0.2575286418, 0.2576807666, 51.570188535, 51.5701796623))",10.5601311575435
RWG123227,2017-09-13,1,0,0,0,0,Havering,https://cycleassetimages.data.tfl.gov.uk/RWG123227_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG123227_2.jpg,"list(c(0.2043468554, 0.2028388126, 51.5415547298, 51.541815509))",108.24826673079
RWG123229,2017-09-14,1,0,1,0,0,Havering,https://cycleassetimages.data.tfl.gov.uk/RWG123229_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG123229_2.jpg,"list(c(0.1838705543, 0.1840130778, 51.5801088235, 51.5801814233))",12.7340574457877
RWG123238,2017-09-14,1,0,0,0,0,Havering,https://cycleassetimages.data.tfl.gov.uk/RWG123238_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG123238_2.jpg,"list(c(0.2296359236, 0.2292117268, 51.6091798596, 51.6091443199))",29.5581297584975
RWG151257,2017-11-30,1,0,0,0,0,Havering,https://cycleassetimages.data.tfl.gov.uk/RWG151257_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG151257_2.jpg,"list(c(0.2557430187, 0.2556571653, 51.5673110586, 51.5672338076))",10.4402990616694
RWG151258,2017-11-30,1,0,0,0,0,Havering,https://cycleassetimages.data.tfl.gov.uk/RWG151258_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG151258_2.jpg,"list(c(0.2502640783, 0.2504053396, 51.558109767, 51.5580869488))",10.0899460938247
RWG151259,2017-11-30,1,0,0,0,0,Havering,https://cycleassetimages.data.tfl.gov.uk/RWG151259_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG151259_2.jpg,"list(c(0.2502946948, 0.2504353297, 51.5581824178, 51.5581589479))",10.0665669735174
RWG151254,2017-11-30,1,0,0,0,0,Havering,https://cycleassetimages.data.tfl.gov.uk/RWG151254_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG151254_2.jpg,"list(c(0.2572389108, 0.2572021509, 51.5704416934, 51.5705327932))",10.4435894467017
RWG151260,2017-11-30,1,0,0,0,0,Havering,https://cycleassetimages.data.tfl.gov.uk/RWG151260_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG151260_2.jpg,"list(c(0.2499913473, 0.2500028472, 51.5583236839, 51.558414166))",10.0925272954672
RWG151261,2017-11-30,1,0,0,0,0,Havering,https://cycleassetimages.data.tfl.gov.uk/RWG151261_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG151261_2.jpg,"list(c(0.2497673926, 0.2496295009, 51.5582406928, 51.5582774029))",10.3699401968452
RWG151262,2017-11-30,1,0,0,0,0,Havering,https://cycleassetimages.data.tfl.gov.uk/RWG151262_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG151262_2.jpg,"list(c(0.2468361257, 0.2469838172, 51.5564515168, 51.5564275345))",10.5531152584489
RWG151263,2017-11-30,1,0,0,0,0,Havering,https://cycleassetimages.data.tfl.gov.uk/RWG151263_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG151263_2.jpg,"list(c(0.2465612743, 0.2466134665, 51.5566595344, 51.556750093))",10.6966337805127
RWG206910,2017-10-17,1,1,0,0,0,Hounslow,https://cycleassetimages.data.tfl.gov.uk/RWG206910_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG206910_2.jpg,"list(c(-0.3846337363, -0.3845150519, 51.4353733009, 51.4353985719))",8.69370071698228
RWG220503,2018-02-13,1,1,0,0,0,Havering,https://cycleassetimages.data.tfl.gov.uk/RWG220503_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG220503_2.jpg,"list(c(0.1815061623, 0.1809839114, 0.181403944, 51.5917809686, 51.5921523106, 51.5924237803))",96.7025501038129
RWG123239,2017-09-14,1,0,0,0,0,Havering,https://cycleassetimages.data.tfl.gov.uk/RWG123239_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG123239_2.jpg,"list(c(0.2294513591, 0.2291103621, 51.6092829897, 51.6092525817))",23.7888951302465
RWG123243,2017-09-14,1,0,0,0,0,Havering,https://cycleassetimages.data.tfl.gov.uk/RWG123243_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG123243_2.jpg,"list(c(0.2136251272, 0.2135467968, 51.5929069087, 51.5929089794))",5.41591184048333
RWG123250,2017-09-16,1,0,0,0,0,Havering,https://cycleassetimages.data.tfl.gov.uk/RWG123250_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG123250_2.jpg,"list(c(0.1784930852, 0.1786346346, 51.5750340925, 51.5750582885))",10.1452437013524
RWG151253,2017-11-30,1,0,0,0,0,Havering,https://cycleassetimages.data.tfl.gov.uk/RWG151253_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG151253_2.jpg,"list(c(0.2565126899, 0.2563657639, 51.570081128, 51.5700871249))",10.176526117796
RWG206909,2017-10-17,1,1,0,0,0,Hounslow,https://cycleassetimages.data.tfl.gov.uk/RWG206909_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG206909_2.jpg,"list(c(-0.3843805341, -0.3844617761, 51.4350414043, 51.4350262325))",5.87888903981734
RWG206949,2018-01-31,1,1,0,1,0,Kingston upon Thames,https://cycleassetimages.data.tfl.gov.uk/RWG206949_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG206949_2.jpg,"list(c(-0.2566853129, -0.2566421715, -0.2572095777, -0.2572063409, 51.4325313766, 51.4321595856, 51.4321300981, 51.4319756326))",98.0977036792966
RWG220502,2018-02-13,1,0,0,0,0,Havering,https://cycleassetimages.data.tfl.gov.uk/RWG220502_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG220502_2.jpg,"list(c(0.1808563166, 0.1810117963, 0.1811680277, 0.1813392566, 0.1814334948, 0.1814672406, 0.1815021481, 51.5917474837, 51.5917651877, 51.5917734178, 51.5917634785, 51.5917627015, 51.5917603722, 51.5917645106))",44.9423570537995
RWG151264,2017-11-30,1,0,0,0,0,Havering,https://cycleassetimages.data.tfl.gov.uk/RWG151264_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG151264_2.jpg,"list(c(0.2460942534, 0.2459544389, 51.5565740871, 51.5566018663))",10.1475758984633
RWG206983,2018-02-01,1,0,0,0,0,Kingston upon Thames,https://cycleassetimages.data.tfl.gov.uk/RWG206983_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG206983_2.jpg,"list(c(-0.2718753643, -0.2717623479, 51.38764558, 51.3877000774))",9.9107918840494
RWG278219,2018-03-16,1,0,0,0,0,Kingston upon Thames,https://cycleassetimages.data.tfl.gov.uk/RWG278219_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG278219_2.jpg,"list(c(-0.3035036698, -0.3035530277, -0.3036151643, 51.4115957878, 51.4115710972, 51.4115370299))",10.1258787796081
RWG123246,2017-09-15,1,0,1,1,0,Havering,https://cycleassetimages.data.tfl.gov.uk/RWG123246_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG123246_2.jpg,"list(c(0.180641924, 0.180551839, 51.5718084851, 51.5718826988))",10.337342147204
RWG220491,2018-02-13,1,1,0,0,0,Havering,https://cycleassetimages.data.tfl.gov.uk/RWG220491_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG220491_2.jpg,"list(c(0.1983947553, 0.1984473678, 0.1981771349, 0.19817595, 51.5564266099, 51.5562853079, 51.5560416476, 51.5558625151))",68.9571728467847
RWG220499,2018-02-13,1,0,0,0,0,Havering,https://cycleassetimages.data.tfl.gov.uk/RWG220499_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG220499_2.jpg,"list(c(0.2512425401, 0.2510419871, 0.2508788504, 51.5904069216, 51.5904319572, 51.5904592475))",25.8031285218342
RWG206944,2018-01-31,1,0,0,0,0,Merton,https://cycleassetimages.data.tfl.gov.uk/RWG206944_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG206944_2.jpg,"list(c(-0.1714906079, -0.17157924, 51.418534491, 51.4184613214))",10.1966200757915
RWG278166,2018-02-16,1,0,0,0,0,Merton,https://cycleassetimages.data.tfl.gov.uk/RWG278166_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG278166_2.jpg,"list(c(-0.1928117101, -0.1928236101, -0.1928284992, -0.192834131, 51.412703418, 51.4126846349, 51.4126644748, 51.4126114387))",10.4232127281691
RWG278217,2018-03-15,1,0,1,0,0,Merton,https://cycleassetimages.data.tfl.gov.uk/RWG278217_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG278217_2.jpg,"list(c(-0.2401990805, -0.2404485639, -0.240663772, 51.4041702713, 51.4041837817, 51.4039234265))",49.9432218268524
RWG290173,2018-03-23,1,0,0,0,0,Barking & Dagenham,https://cycleassetimages.data.tfl.gov.uk/RWG290173_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG290173_2.jpg,"list(c(0.1740173167, 0.1738669146, 51.5431819576, 51.5431807161))",10.4019693318941
RWG244644,2018-02-27,1,0,0,0,0,Bexley,https://cycleassetimages.data.tfl.gov.uk/RWG244644_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG244644_2.jpg,"list(c(0.1429092936, 0.1430665041, 51.4568889432, 51.4568680758))",11.1368973360089
RWG244645,2018-02-27,1,0,0,0,0,Bexley,https://cycleassetimages.data.tfl.gov.uk/RWG244645_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG244645_2.jpg,"list(c(0.1475865453, 0.1476195473, 51.4550538443, 51.4551469113))",10.5982194448585
RWG150624,2017-09-20,1,0,0,0,0,Waltham Forest,https://cycleassetimages.data.tfl.gov.uk/RWG150624_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150624_2.jpg,"list(c(-0.0080635234, -0.0081532602, 51.6266127189, 51.6265494001))",9.3777498266461
RWG150660,2017-09-25,1,1,0,1,0,Waltham Forest,https://cycleassetimages.data.tfl.gov.uk/RWG150660_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150660_2.jpg,"list(c(-0.0409257939, -0.0410988286, -0.0408845954, -0.0406630547, 51.5684077306, 51.5684743117, 51.5686714951, 51.5685743756))",59.2601847625743
RWG150679,2017-09-28,1,0,0,0,0,Waltham Forest,https://cycleassetimages.data.tfl.gov.uk/RWG150679_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG150679_2.jpg,"list(c(-0.038519642, -0.0383829971, -0.0382957749, -0.0381687536, -0.0379912557, -0.0379236613, -0.0377863099, -0.0376462349, -0.0374979202, -0.037460584, 51.5980554173, 51.597934882, 51.5977971793, 51.597458879, 51.5972896119, 51.5971139329, 51.5970394562, 51.5969550064, 51.5968475243, 51.5967717561))",164.650158562892
RWG186223,2017-11-02,1,0,0,0,0,Bexley,https://cycleassetimages.data.tfl.gov.uk/RWG186223_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG186223_2.jpg,"list(c(0.0984287959, 0.0983396818, 51.4630313536, 51.4631025997))",10.0436031035433
