FEATURE_ID,SVDATE,ASL_FDR,ASL_FDRLFT,ASL_FDCENT,ASL_FDRIGH,ASL_SHARED,ASL_COLOUR,BOROUGH,PHOTO1_URL,PHOTO2_URL,geometry
RWG205288,2017-12-01,0,0,0,0,0,NONE,Bromley,https://cycleassetimages.data.tfl.gov.uk/RWG205288_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG205288_2.jpg,"c(0.0203786955, 0.0203909665, 51.3988834548, 51.3988423209)"
RWG205289,2017-12-01,0,0,0,0,0,NONE,Bromley,https://cycleassetimages.data.tfl.gov.uk/RWG205289_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG205289_2.jpg,"c(0.0201808629, 0.0201873142, 51.3988617918, 51.3988269522)"
RWG205290,2017-12-01,0,0,0,0,0,GREEN,Bromley,https://cycleassetimages.data.tfl.gov.uk/RWG205290_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG205290_2.jpg,"c(0.0165640877, 0.0166198222, 51.4081187964, 51.4081003091)"
RWG184308,2017-11-13,0,0,0,0,0,NONE,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184308_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184308_2.jpg,"c(0.0673959635, 0.06742965, 51.4893363877, 51.4893720474)"
RWG184250,2017-11-14,1,1,0,0,0,NONE,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184250_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184250_2.jpg,"c(0.0628770258, 0.0628494473, 51.4881912888, 51.4882388857)"
RWG184251,2017-11-14,1,1,0,0,0,NONE,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184251_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184251_2.jpg,"c(0.0633234615, 0.0633326097, 51.4870496564, 51.4870890826)"
RWG184280,2017-11-03,0,0,0,0,0,NONE,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184280_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184280_2.jpg,"c(0.0703257181, 0.070257919, 51.4912867384, 51.4912788913)"
RWG184286,2017-11-05,0,0,0,0,0,NONE,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184286_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184286_2.jpg,"c(0.0667941483, 0.0668306965, 51.4903151376, 51.4902823729)"
RWG205243,2017-11-28,1,0,1,0,0,NONE,Bromley,https://cycleassetimages.data.tfl.gov.uk/RWG205243_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG205243_2.jpg,"c(0.014164497, 0.0141887961, 51.4087433352, 51.4087857478)"
RWG205259,2017-12-01,1,1,0,0,0,NONE,Bromley,https://cycleassetimages.data.tfl.gov.uk/RWG205259_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG205259_2.jpg,"c(0.0170295519, 0.0169814553, 51.4077716441, 51.4077932213)"
RWG205260,2017-12-01,1,1,0,0,0,GREEN,Bromley,https://cycleassetimages.data.tfl.gov.uk/RWG205260_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG205260_2.jpg,"c(0.0144944099, 0.0144376926, 51.4087652773, 51.4087889837)"
RWG184277,2017-10-30,0,0,0,0,0,GREEN,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184277_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184277_2.jpg,"c(0.0578261081, 0.0578095082, 51.4610545581, 51.4610919676)"
RWG184309,2017-11-13,0,0,0,0,0,NONE,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184309_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184309_2.jpg,"c(0.0638578165, 0.0637883581, 51.487166366, 51.4871377983)"
RWG184306,2017-11-13,0,0,0,0,0,NONE,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184306_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184306_2.jpg,"c(0.0678329496, 0.0677823876, 51.4893657209, 51.489390645)"
RWG184239,2017-11-07,1,1,0,0,0,NONE,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184239_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184239_2.jpg,"c(0.0315100488, 0.0314567378, 51.4878963976, 51.487884699)"
RWG184240,2017-11-07,1,1,0,0,0,GREEN,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184240_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184240_2.jpg,"c(0.0305800625, 0.0306515501, 51.4879475687, 51.4879638612)"
RWG184285,2017-11-05,0,0,0,0,0,NONE,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184285_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184285_2.jpg,"c(0.0628019661, 0.0628223372, 51.4887118974, 51.4886734696)"
RWG184272,2017-10-26,0,0,0,0,0,GREEN,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184272_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184272_2.jpg,"c(0.0580311603, 0.0579839712, 51.4612583591, 51.4612538174)"
RWG205296,2017-12-05,0,0,0,0,0,NONE,Bromley,https://cycleassetimages.data.tfl.gov.uk/RWG205296_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG205296_2.jpg,"c(-0.025428369, -0.0253198822, 51.408887958, 51.4088728322)"
RWG205291,2017-12-05,0,0,0,0,0,NONE,Bromley,https://cycleassetimages.data.tfl.gov.uk/RWG205291_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG205291_2.jpg,"c(-0.0258337012, -0.0257576496, 51.4077303415, 51.4077329323)"
RWG184283,2017-11-05,0,0,0,0,0,NONE,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184283_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184283_2.jpg,"c(0.0564142156, 0.0564556853, 51.4874829102, 51.4874458527)"
RWG205276,2017-11-30,0,0,0,0,0,NONE,Croydon,https://cycleassetimages.data.tfl.gov.uk/RWG205276_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG205276_2.jpg,"c(-0.0286007832, -0.0286114483, 51.3774188946, 51.3773840179)"
RWG290328,2018-04-05,1,1,0,0,0,RED,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG290328_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG290328_2.jpg,"c(-0.0031833507, -0.0031608404, 51.4830056847, 51.4829778596)"
RWG184276,2017-10-30,0,0,0,0,0,GREEN,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184276_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184276_2.jpg,"c(0.0577956235, 0.0577921202, 51.4610772249, 51.4610879924)"
RWG184254,2017-11-20,1,1,0,0,0,NONE,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184254_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184254_2.jpg,"c(0.0527883345, 0.0528563023, 51.48035878, 51.4803721878)"
RWG184267,2017-10-25,0,0,0,0,0,GREEN,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184267_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184267_2.jpg,"c(0.0750142216, 0.0751042529, 51.4621420337, 51.4621090071)"
