,Borough,Survey wave (year),Start hour,Start minute,Number of male cycles,Number of female cycles,Number of unknown cycles,Total cycles
151,Sutton,2020,17280,28800,1564,128,100,1792
152,Sutton,2021,34560,57600,2597,359,14,2970
153,Waltham Forest,2015,31104,51840,3325,579,8,3912
154,Waltham Forest,2016,31104,51840,3203,709,8,3920
155,Waltham Forest,2017,31104,51840,3322,713,5,4040
156,Waltham Forest,2018,31104,51840,3832,912,11,4755
157,Waltham Forest,2019,31104,51840,3468,949,4,4421
158,Waltham Forest,2020,13824,23040,3388,987,19,4394
159,Waltham Forest,2021,31104,51840,4199,1360,3,5562
160,Wandsworth,2015,1728,2880,33,11,0,44
161,Wandsworth,2016,1728,2880,42,18,1,61
162,Wandsworth,2017,1728,2880,60,11,0,71
163,Wandsworth,2018,1728,2880,72,7,0,79
164,Wandsworth,2019,1728,2880,46,21,0,67
165,Wandsworth,2021,1728,2880,79,14,0,93
