FEATURE_ID,SVDATE,ASL_FDR,ASL_FDRLFT,ASL_FDCENT,ASL_FDRIGH,ASL_SHARED,ASL_COLOUR,BOROUGH,PHOTO1_URL,PHOTO2_URL,geometry,asl_length_m
RWG088960,2017-08-04,1,1,0,0,0,GREEN,Wandsworth,https://cycleassetimages.data.tfl.gov.uk/RWG088960_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG088960_2.jpg,"c(-0.1984276432, -0.1984361024, 51.4459876781, 51.4460319986)",4.96296876805068
RWG135324,2017-12-01,0,0,0,0,0,NONE,Wandsworth,https://cycleassetimages.data.tfl.gov.uk/RWG135324_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG135324_2.jpg,"c(-0.1312882079, -0.1313440583, 51.4836211966, 51.4835981347)",4.64033171670096
RWG088984,2017-08-09,0,0,0,0,0,NONE,Wandsworth,https://cycleassetimages.data.tfl.gov.uk/RWG088984_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG088984_2.jpg,"c(-0.2076582813, -0.2076838549, 51.4549759909, 51.455013189)",4.49982241996954
RWG088972,2017-08-05,0,0,0,0,0,GREEN,Wandsworth,https://cycleassetimages.data.tfl.gov.uk/RWG088972_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG088972_2.jpg,"c(-0.1925395613, -0.1925700763, 51.4569114651, 51.4568742879)",4.64321271714441
RWG089133,2017-08-01,0,0,0,0,0,GREEN,Wandsworth,https://cycleassetimages.data.tfl.gov.uk/RWG089133_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG089133_2.jpg,"c(-0.1897563255, -0.1897801172, 51.456913039, 51.4568763819)",4.39679867194881
RWG088979,2017-08-08,1,1,0,0,0,NONE,Wandsworth,https://cycleassetimages.data.tfl.gov.uk/RWG088979_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG088979_2.jpg,"c(-0.241186657, -0.2411298036, 51.4500713568, 51.450043562)",5.00735579680648
RWG073116,2017-07-08,0,0,0,0,0,GREEN,Tower Hamlets,https://cycleassetimages.data.tfl.gov.uk/RWG073116_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG073116_2.jpg,"c(-0.0693178241, -0.0693775024, 51.5309801594, 51.5309789586)",4.13031660609832
RWG109467,2017-08-08,1,1,0,0,0,NONE,Wandsworth,https://cycleassetimages.data.tfl.gov.uk/RWG109467_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG109467_2.jpg,"c(-0.1711981944, -0.1712278303, 51.4597147062, 51.4597564042)",5.07088948225255
RWG109558,2017-10-16,0,0,0,0,0,NONE,Wandsworth,https://cycleassetimages.data.tfl.gov.uk/RWG109558_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG109558_2.jpg,"c(-0.1697743121, -0.1698147148, 51.4781147837, 51.4781503137)",4.84123407800088
RWG109559,2017-10-16,0,0,0,0,0,NONE,Wandsworth,https://cycleassetimages.data.tfl.gov.uk/RWG109559_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG109559_2.jpg,"c(-0.1832864469, -0.1833194369, 51.4634362427, 51.463454259)",3.03915181619302
RWG109562,2017-10-17,0,0,0,0,1,BLUE,Wandsworth,https://cycleassetimages.data.tfl.gov.uk/RWG109562_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG109562_2.jpg,"c(-0.1476103062, -0.1475889694, 51.4527625912, 51.4528054021)",4.98467038308936
RWG108891,2017-11-10,1,1,0,0,0,GREEN,Tower Hamlets,https://cycleassetimages.data.tfl.gov.uk/RWG108891_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG108891_2.jpg,"c(-0.0638885245, -0.063876554, 51.5240090585, 51.5239671348)",4.73470211835727
RWG042479,2017-07-13,1,1,0,0,0,NONE,Kensington & Chelsea,https://cycleassetimages.data.tfl.gov.uk/RWG042479_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG042479_2.jpg,"c(-0.18395045, -0.1839834869, 51.4842334622, 51.48421543)",3.04197672174495
RWG088924,2017-07-31,1,1,0,0,0,GREEN,Wandsworth,https://cycleassetimages.data.tfl.gov.uk/RWG088924_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG088924_2.jpg,"c(-0.2190494903, -0.218986967, 51.4570951148, 51.4570865683)",4.43498711279131
RWG082429,2017-07-23,0,0,0,0,0,NONE,Southwark,https://cycleassetimages.data.tfl.gov.uk/RWG082429_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG082429_2.jpg,"c(-0.0945739574, -0.0945744658, 51.4821571171, 51.4821903734)",3.69810522210386
RWG082430,2017-07-23,0,0,0,0,0,NONE,Southwark,https://cycleassetimages.data.tfl.gov.uk/RWG082430_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG082430_2.jpg,"c(-0.0941719824, -0.0942223489, 51.4808611232, 51.4808619275)",3.48900852752341
RWG082485,2017-07-25,1,1,0,0,0,NONE,Southwark,https://cycleassetimages.data.tfl.gov.uk/RWG082485_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG082485_2.jpg,"c(-0.0953776651, -0.0954152689, 51.4997407196, 51.4997599938)",3.37175769105359
RWG065792,2017-06-29,1,1,0,0,0,GREEN,Tower Hamlets,https://cycleassetimages.data.tfl.gov.uk/RWG065792_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG065792_2.jpg,"c(-0.0684776733, -0.0684737954, 51.5109468864, 51.5109094848)",4.16752433746651
RWG065759,2017-06-29,1,1,0,0,0,NONE,City of London,https://cycleassetimages.data.tfl.gov.uk/RWG065759_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG065759_2.jpg,"c(-0.0888531646, -0.0888397662, 51.517163369, 51.5172059981)",4.82995859286688
RWG154190,2018-01-12,1,1,0,0,0,NONE,Wandsworth,https://cycleassetimages.data.tfl.gov.uk/RWG154190_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG154190_2.jpg,"c(-0.1920747075, -0.1920552392, 51.4585202238, 51.4585656718)",5.2305038983199
RWG154191,2018-01-15,1,1,0,0,0,GREEN,Wandsworth,https://cycleassetimages.data.tfl.gov.uk/RWG154191_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG154191_2.jpg,"c(-0.2031360872, -0.2030938893, 51.4565583246, 51.4565735243)",3.37710483169384
RWG073049,2017-06-30,1,1,0,0,0,NONE,Tower Hamlets,https://cycleassetimages.data.tfl.gov.uk/RWG073049_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG073049_2.jpg,"c(-0.0787742887, -0.078782851, 51.5206992889, 51.5206558849)",4.86253521823977
RWG073053,2017-07-02,1,1,0,0,0,NONE,Tower Hamlets,https://cycleassetimages.data.tfl.gov.uk/RWG073053_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG073053_2.jpg,"c(-0.0747500724, -0.0746973986, 51.5202347031, 51.5202336012)",3.64655092320191
