id,lat,lon,location,date,time,borough,mode,year
295323,51.517768,-0.123883,Bloomsbury Way junction with Bury Place,2017-03-16,08:00:00,Camden, PedalCycle,2017
361338,51.517774,-0.195935,On Chepstow Road 40 metres north of The Junction With Talbot Road,2019-08-24,13:00:00,Westminster, PedalCycle,2019
293107,51.517778,-0.107739,Holborn Circus junction with Charterhouse Street,2017-03-06,15:37:00,City of London, PedalCycle,2017
293124,51.517778,-0.107739,Hatton Garden junction with Charterhouse Street,2017-11-21,23:13:00,City of London, PedalCycle,2017
371075,51.517779,-0.096669,Aldersgate Rotunda (A1) Near Junction With Aldersgate Street (A1),2019-12-09,18:20:00,City of London, PedalCycle,2019
308418,51.517779,0.02155,Ravenscroft Road 65 metres east of junction with Douglas Road,2017-04-02,20:15:00,Newham, PedalCycle,2017
703051,51.517781,-0.211083,Malton Road junction with Malton Mews,2018-11-16,09:45:00,Kensington & Chelsea, PedalCycle,2018
298702,51.517781,-0.042157,Ben Jonson Road 25 metres west of junction with Stepney High Street,2017-09-13,08:15:00,Tower Hamlets, PedalCycle,2017
349870,51.517806,-0.107781,On Holborn Near The Junction With Hatton Garden,2019-03-07,19:00:00,City of London, PedalCycle,2019
718108,51.517806,-0.043107,On Stepney Green Near The Junction With White Horse Road,2019-01-22,22:49:00,Tower Hamlets, PedalCycle,2019
298264,51.517806,-0.065362,Whitechapel Road 100 metres east of junction with Davenant Street,2017-05-07,00:50:00,Tower Hamlets, PedalCycle,2017
665355,51.517813,-0.166545,Crawford Place junction with Edgware Road,2017-06-26,22:15:00,Westminster, PedalCycle,2017
357309,51.517827,-0.131548,On Tottenham Court Road 25 metres north of The Junction With Bedf,2019-06-27,09:03:00,Camden, PedalCycle,2019
350696,51.517828,-0.123722,On Bloomsbury Way 25 metres east of The Junction With Bury Place,2019-03-20,10:00:00,Camden, PedalCycle,2019
363302,51.517828,0.060052,On Woolwich Manor Way Near The Junction With Alpine Way,2019-09-20,14:15:00,Newham, PedalCycle,2019
706506,51.517829,0.060038,Woolwich Manor Way junction with Alpine Way,2018-10-31,08:05:00,Newham, PedalCycle,2018
362072,51.51783,-0.117682,On High Holborn 25 metres west of The Junction With Red Lion Stre,2019-09-04,15:30:00,Camden, PedalCycle,2019
693586,51.51783,-0.127772,Bloomsbury Street junction with Great Russell Street,2018-07-05,17:30:00,Camden, PedalCycle,2018
666993,51.517834,-0.127469,Great Russell Street junction with Bloomsbury Street,2017-10-02,16:55:00,Camden, PedalCycle,2017
696293,51.517839,-0.067379,Greatorex Street 25 metres south of junction with Greatorex Street,2018-07-31,18:10:00,Tower Hamlets, PedalCycle,2018
295370,51.517846,-0.117538,High Holborn 25 metres south of junction with south Place,2017-03-29,18:30:00,Camden, PedalCycle,2017
