FEATURE_ID,SVDATE,RST_STEPS,RST_LIFT,BOROUGH,PHOTO1_URL,PHOTO2_URL,geometry
RWG261274,2018-03-07,1,0,Brent,https://cycleassetimages.data.tfl.gov.uk/RWG261274_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG261274_2.jpg,"c(-0.3263717145, 51.5779168325)"
RWG292814,2018-04-11,1,0,Brent,https://cycleassetimages.data.tfl.gov.uk/RWG292814_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG292814_2.jpg,"c(-0.2843397162, 51.5322573305)"
RWG233477,2018-02-16,1,0,Richmond upon Thames,https://cycleassetimages.data.tfl.gov.uk/RWG233477_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG233477_2.jpg,"c(-0.2872128032, 51.4852978735)"
RWG233478,2018-02-16,1,0,Richmond upon Thames,https://cycleassetimages.data.tfl.gov.uk/RWG233478_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG233478_2.jpg,"c(-0.2875553027, 51.4852969828)"
RWG233454,2017-12-22,1,0,Ealing,https://cycleassetimages.data.tfl.gov.uk/RWG233454_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG233454_2.jpg,"c(-0.2638419336, 51.4945667902)"
RWG290589,2018-04-09,1,0,Merton,https://cycleassetimages.data.tfl.gov.uk/RWG290589_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG290589_2.jpg,"c(-0.1744479702, 51.3993297876)"
RWG282088,2018-03-22,1,0,Haringey,https://cycleassetimages.data.tfl.gov.uk/RWG282088_1.jpg,https://cycleassetimages.data.tfl.gov.uk/no_asset_photo.png,"c(-0.1565951977, 51.6015983043)"
RWG282089,2018-03-22,1,0,Haringey,https://cycleassetimages.data.tfl.gov.uk/RWG282089_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG282089_2.jpg,"c(-0.1555975196, 51.5952234116)"
RWG282087,2018-03-22,1,0,Haringey,https://cycleassetimages.data.tfl.gov.uk/RWG282087_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG282087_2.jpg,"c(-0.1159027749, 51.5906464721)"
RWG282074,2018-02-21,1,0,Haringey,https://cycleassetimages.data.tfl.gov.uk/no_asset_photo.png,https://cycleassetimages.data.tfl.gov.uk/RWG282074_2.jpg,"c(-0.1385691599, 51.5746215421)"
RWG282075,2018-02-21,1,0,Haringey,https://cycleassetimages.data.tfl.gov.uk/RWG282075_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG282075_2.jpg,"c(-0.1394029049, 51.5749747024)"
RWG261271,2018-01-15,1,0,Harrow,https://cycleassetimages.data.tfl.gov.uk/RWG261271_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG261271_2.jpg,"c(-0.3725118497, 51.6128583125)"
